stage,config_id,batch_norm,batch_size,patience,meth_variance_threshold,learning_rate,weight_decay,num_nodes,dropout,mean_train_c_index,sd_train_c_index,mean_val_c_index,sd_val_c_index,mean_epochs_trained,overfit_gap
conservative_joint_tuning,101,False,32,10,0.0005,0.001,0.03,[8],0.5,0.6470685132341079,0.11389144225310296,0.5634209952405962,0.1718038646866778,12.0,0.08364751799351167
conservative_joint_tuning,90,False,32,10,0.0005,0.001,0.01,[8],0.6,0.6378684242434293,0.10268842270123271,0.5634115030716356,0.17088525239505917,12.0,0.0744569211717937
conservative_joint_tuning,102,False,32,10,0.0005,0.001,0.03,[8],0.6,0.6377596704065533,0.1025221688482063,0.5634115030716356,0.17088525239505917,12.0,0.07434816733491778
conservative_joint_tuning,78,False,32,10,0.0005,0.001,0.001,[8],0.6,0.637561078898613,0.10227202847330738,0.5634115030716356,0.17088525239505917,12.0,0.07414957582697745
conservative_joint_tuning,89,False,32,10,0.0005,0.001,0.01,[8],0.5,0.6468765847338267,0.11364989815694665,0.5630128319752901,0.1714245152791868,12.0,0.08386375275853664
conservative_joint_tuning,77,False,32,10,0.0005,0.001,0.001,[8],0.5,0.6471029011295686,0.11393147762054032,0.5630128319752901,0.1714245152791868,12.0,0.08409006915427852
conservative_joint_tuning,88,False,32,10,0.0005,0.001,0.01,[8],0.4,0.6504814130428004,0.11805889443665954,0.5612567807175777,0.16928704910666978,12.0,0.08922463232522271
conservative_joint_tuning,76,False,32,10,0.0005,0.001,0.001,[8],0.4,0.6504470251473397,0.11801716867151882,0.5608486174522715,0.16896331037398626,12.0,0.0895984076950681
conservative_joint_tuning,100,False,32,10,0.0005,0.001,0.03,[8],0.4,0.6507354543263443,0.11837314691887112,0.5608486174522715,0.16896331037398626,12.0,0.08988683687407273
conservative_joint_tuning,79,False,32,10,0.0005,0.001,0.001,[16],0.4,0.632213450297819,0.14224541877429991,0.5533562380487667,0.16628799616324869,11.8,0.07885721224905229
conservative_joint_tuning,91,False,32,10,0.0005,0.001,0.01,[16],0.4,0.6321927711345756,0.14212450189536555,0.5519608892115574,0.16464908802320027,11.8,0.08023188192301822
conservative_joint_tuning,103,False,32,10,0.0005,0.001,0.03,[16],0.4,0.6319240844925377,0.14202990154755835,0.5519608892115574,0.16464908802320027,11.8,0.07996319528098028
conservative_joint_tuning,105,False,32,10,0.0005,0.001,0.03,[16],0.6,0.6124010164069091,0.13257812332841462,0.5500857681631887,0.19155622359598243,11.8,0.06231524824372048
conservative_joint_tuning,93,False,32,10,0.0005,0.001,0.01,[16],0.6,0.6120212797199279,0.13231832805455257,0.5482209662983869,0.19463987835492666,11.8,0.06380031342154102
conservative_joint_tuning,81,False,32,10,0.0005,0.001,0.001,[16],0.6,0.6119979488437506,0.13228085743140822,0.5476978128184228,0.19520626685433723,11.8,0.0643001360253278
conservative_joint_tuning,41,False,32,10,0.0005,0.0003,0.001,[8],0.5,0.6045861363247044,0.0665619952685731,0.5465059501527937,0.16814191355973881,12.0,0.058080186171910686
conservative_joint_tuning,65,False,32,10,0.0005,0.0003,0.03,[8],0.5,0.604469646623004,0.0664659742684836,0.5465059501527937,0.16814191355973881,12.0,0.05796369647021027
conservative_joint_tuning,53,False,32,10,0.0005,0.0003,0.01,[8],0.5,0.6045517484292435,0.06652230717416928,0.5465059501527937,0.16814191355973881,12.0,0.058045798276449845
conservative_joint_tuning,104,False,32,10,0.0005,0.001,0.03,[16],0.5,0.6185748348551701,0.13409913298800313,0.5445678918888177,0.19284931134318448,11.8,0.07400694296635235
conservative_joint_tuning,92,False,32,10,0.0005,0.001,0.01,[16],0.5,0.6187615559218572,0.13418779303063824,0.5445678918888177,0.19284931134318448,11.8,0.07419366403303951
conservative_joint_tuning,80,False,32,10,0.0005,0.001,0.001,[16],0.5,0.6186070834721938,0.13412580740408536,0.5445678918888177,0.19284931134318448,11.8,0.07403919158337613
conservative_joint_tuning,54,False,32,10,0.0005,0.0003,0.01,[8],0.6,0.596035747046952,0.060775972149541696,0.5427755277512749,0.1645780650188204,12.0,0.053260219295677036
conservative_joint_tuning,42,False,32,10,0.0005,0.0003,0.001,[8],0.6,0.5959125943375924,0.0607416942742127,0.5427755277512749,0.1645780650188204,12.0,0.05313706658631745
conservative_joint_tuning,66,False,32,10,0.0005,0.0003,0.03,[8],0.6,0.5960911968225553,0.060919922203284724,0.5427755277512749,0.1645780650188204,12.0,0.05331566907128038
conservative_joint_tuning,64,False,32,10,0.0005,0.0003,0.03,[8],0.4,0.6029505373429023,0.06644970267126916,0.5416649439828839,0.1625135761851649,12.0,0.061285593360018376
conservative_joint_tuning,40,False,32,10,0.0005,0.0003,0.001,[8],0.4,0.6030670270446029,0.06653165399900732,0.541199827703814,0.16249124366211853,12.0,0.06186719934078888
conservative_joint_tuning,52,False,32,10,0.0005,0.0003,0.01,[8],0.4,0.6030670270446029,0.06653165399900732,0.541199827703814,0.16249124366211853,12.0,0.06186719934078888
conservative_joint_tuning,17,False,32,10,0.0005,0.0001,0.01,[8],0.5,0.5684582359400568,0.054277355011734314,0.5355045263274496,0.163741667020656,12.0,0.03295370961260724
conservative_joint_tuning,29,False,32,10,0.0005,0.0001,0.03,[8],0.5,0.568410522029278,0.05437449624072807,0.5355045263274496,0.163741667020656,12.0,0.032905995701828394
conservative_joint_tuning,5,False,32,10,0.0005,0.0001,0.001,[8],0.5,0.5684582359400568,0.054277355011734314,0.5355045263274496,0.163741667020656,12.0,0.03295370961260724
conservative_joint_tuning,4,False,32,10,0.0005,0.0001,0.001,[8],0.4,0.5688908797085637,0.05437628024271823,0.5343939425590585,0.16148311845917282,12.0,0.03449693714950519
conservative_joint_tuning,28,False,32,10,0.0005,0.0001,0.03,[8],0.4,0.5689385936193426,0.05427946548795722,0.5343939425590585,0.16148311845917282,12.0,0.03454465106028415
conservative_joint_tuning,16,False,32,10,0.0005,0.0001,0.01,[8],0.4,0.5689729815148035,0.05430307806363436,0.5343939425590585,0.16148311845917282,12.0,0.03457903895574499
conservative_joint_tuning,30,False,32,10,0.0005,0.0001,0.03,[8],0.6,0.5664445959728523,0.055540957593026845,0.5333498039733916,0.1626094686383475,12.0,0.03309479199946075
conservative_joint_tuning,6,False,32,10,0.0005,0.0001,0.001,[8],0.6,0.5664445959728523,0.055540957593026845,0.5329416407080856,0.1621846418168375,12.0,0.033502955264766765
conservative_joint_tuning,18,False,32,10,0.0005,0.0001,0.01,[8],0.6,0.5664445959728523,0.055540957593026845,0.5329416407080856,0.1621846418168375,12.0,0.033502955264766765
conservative_joint_tuning,43,False,32,10,0.0005,0.0003,0.001,[16],0.4,0.5852247740103848,0.11485693532378444,0.5263804884566019,0.16397114788358533,11.8,0.05884428555378285
conservative_joint_tuning,67,False,32,10,0.0005,0.0003,0.03,[16],0.4,0.585178392469364,0.11484895034293614,0.5263804884566019,0.16397114788358533,11.8,0.05879790401276208
conservative_joint_tuning,55,False,32,10,0.0005,0.0003,0.01,[16],0.4,0.585229168022009,0.11486537673356895,0.5263804884566019,0.16397114788358533,11.8,0.05884867956540707
conservative_joint_tuning,45,False,32,10,0.0005,0.0003,0.001,[16],0.6,0.573596271409504,0.10955400658689676,0.5238557525132068,0.17064036330262392,11.8,0.04974051889629716
